recall_id,study_id,period,survey_type,location_id,location_type,site_id,household_id,HPD,HDI,REM,FCI,education,num_participants,num_ame,days,mdays,consumption,frequency,quantity
740,5,1,3,9,2,9,963,2.841,0.568,936.1159763,3791.490837,2,5,4,1,9,0,0,0
741,5,1,3,9,2,9,992,2.841,0.568,936.1159763,3791.490837,2,3,2,1,9,0,0,0
742,5,1,3,3,3,3,1041,26.973,0.63,823.0665874,7713.441681,6,11,7,1,9,0,0,0
743,5,1,3,9,2,9,1072,2.841,0.568,936.1159763,3791.490837,2,1,1,1,9,0,0,0
744,5,1,3,1,3,1,1073,281.981,0.601,172.8959831,2347.753925,6,8,6,1,9,0,0.444444444,0
745,5,1,3,9,2,9,1113,2.841,0.568,936.1159763,3791.490837,2,10,7,1,9,0,0,0
746,5,1,3,6,2,6,1117,8.322,0.603,488.3880137,7222.608627,5,6,5,1,9,0,0,0
747,5,1,3,6,2,6,1121,8.322,0.603,488.3880137,7222.608627,5,8,6,1,8,0,0,0
748,5,1,3,6,2,6,1122,8.322,0.603,488.3880137,7222.608627,5,7,6,1,9,1,0.222222222,3
749,5,1,3,6,2,6,1124,8.322,0.603,488.3880137,7222.608627,5,4,3,1,9,0,0,0
750,5,1,3,9,2,9,1139,2.841,0.568,936.1159763,3791.490837,2,2,2,1,9,0,0,0
751,5,1,3,9,2,9,1144,2.841,0.568,936.1159763,3791.490837,2,6,5,1,9,0,0,0
752,5,1,3,7,2,7,1151,23.934,0.598,575.910379,8236.212966,5,7,5,1,9,0,0,0
753,5,1,3,7,2,7,1153,23.934,0.598,575.910379,8236.212966,5,4,3,1,9,0,0,0
754,5,1,3,2,2,2,1167,2.226,0.63,1217.544265,8834.653023,5,16,12,1,9,0,0,0
755,5,1,3,1,3,1,1168,281.981,0.601,172.8959831,2347.753925,3,6,5,1,9,0,0,0
756,5,1,3,9,2,9,1178,2.841,0.568,936.1159763,3791.490837,2,7,5,1,9,1,0.222222222,18.613
757,5,1,3,8,1,8,1182,1.306,0.578,706.6242745,8991.144255,4,7,5,1,9,0,0.222222222,0
758,5,1,3,3,3,3,1186,26.973,0.63,823.0665874,7713.441681,3,3,3,1,9,0,0,0
759,5,1,3,3,3,3,1187,26.973,0.63,823.0665874,7713.441681,3,14,10,1,9,1,0.333333333,1.539
760,5,1,3,3,3,3,1193,26.973,0.63,823.0665874,7713.441681,6,3,2,1,9,0,0.444444444,0
761,5,1,3,3,3,3,1198,26.973,0.63,823.0665874,7713.441681,3,2,2,1,9,0,0.333333333,0
762,5,1,3,4,2,4,1222,2.256,0.556,1318.886093,9438.887866,2,11,9,1,9,0,0.444444444,0
763,5,1,3,8,1,8,1227,1.306,0.578,706.6242745,8991.144255,4,10,7,1,9,0,0.111111111,0
764,5,1,3,8,1,8,1254,1.306,0.578,706.6242745,8991.144255,4,3,3,1,9,0,0,0
765,5,1,3,2,2,2,1301,2.226,0.63,1217.544265,8834.653023,2,16,11,1,9,0,0.222222222,0
766,5,1,3,1,3,1,1328,281.981,0.601,172.8959831,2347.753925,6,1,1,1,8,0,0,0
767,5,1,3,8,1,8,1345,1.306,0.578,706.6242745,8991.144255,4,13,9,1,9,0,0.333333333,0
768,5,1,3,8,1,8,1348,1.306,0.578,706.6242745,8991.144255,4,5,4,1,6,0,0,0
769,5,1,3,4,2,4,1368,2.256,0.556,1318.886093,9438.887866,5,11,8,1,10,1,0.3,-1
770,5,1,3,1,3,1,1373,281.981,0.601,172.8959831,2347.753925,6,4,3,1,9,0,0,0
771,5,1,3,3,3,3,1376,26.973,0.63,823.0665874,7713.441681,3,2,2,1,9,0,0,0
772,5,1,3,1,3,1,1380,281.981,0.601,172.8959831,2347.753925,6,4,3,1,9,0,0.111111111,0
773,5,1,3,8,1,8,1395,1.306,0.578,706.6242745,8991.144255,4,15,11,1,9,0,0.222222222,0
774,5,1,3,8,1,8,1396,1.306,0.578,706.6242745,8991.144255,4,5,4,1,9,0,0.111111111,0
775,5,1,3,8,1,8,1396,1.306,0.578,706.6242745,8991.144255,4,5,4,1,9,1,0.111111111,21.376
776,5,1,3,2,2,2,1413,2.226,0.63,1217.544265,8834.653023,5,9,7,1,9,0,0,0
777,5,1,3,3,3,3,1415,26.973,0.63,823.0665874,7713.441681,6,5,4,1,9,0,0.111111111,0
778,5,1,3,2,2,2,1425,2.226,0.63,1217.544265,8834.653023,5,11,7,1,9,1,0.333333333,4.896
779,5,1,3,3,3,3,1443,26.973,0.63,823.0665874,7713.441681,3,6,6,1,9,0,0,0
780,5,1,3,7,2,7,1449,23.934,0.598,575.910379,8236.212966,2,4,3,1,9,0,0,0
781,5,1,3,2,2,2,1483,2.226,0.63,1217.544265,8834.653023,7,7,5,1,9,0,0.333333333,0
782,5,1,3,2,2,2,1487,2.226,0.63,1217.544265,8834.653023,2,4,3,1,9,0,0.222222222,0
783,5,1,3,4,2,4,1500,2.256,0.556,1318.886093,9438.887866,5,2,2,1,9,1,0.555555556,2
784,5,1,3,2,2,2,1508,2.226,0.63,1217.544265,8834.653023,2,6,4,1,9,0,0,0
785,5,1,3,2,2,2,1513,2.226,0.63,1217.544265,8834.653023,5,8,6,1,9,1,0.222222222,2.876
786,5,1,3,2,2,2,1515,2.226,0.63,1217.544265,8834.653023,5,2,2,1,9,0,0.333333333,0
787,5,1,3,1,3,1,1525,281.981,0.601,172.8959831,2347.753925,6,6,5,1,9,0,0,0
788,5,1,3,1,3,1,1536,281.981,0.601,172.8959831,2347.753925,6,17,13,1,9,0,0,0
789,5,1,3,7,2,7,1544,23.934,0.598,575.910379,8236.212966,5,6,4,1,9,0,0,0
790,5,1,3,1,3,1,1569,281.981,0.601,172.8959831,2347.753925,6,1,1,1,9,0,0.111111111,0
791,5,1,3,1,3,1,1570,281.981,0.601,172.8959831,2347.753925,6,14,11,1,9,0,0,0
792,5,1,3,7,2,7,1595,23.934,0.598,575.910379,8236.212966,2,2,2,1,9,0,0.333333333,0
793,5,1,3,7,2,7,1598,23.934,0.598,575.910379,8236.212966,2,4,4,1,9,0,0,0
794,5,1,3,6,2,6,1599,8.322,0.603,488.3880137,7222.608627,5,4,3,1,9,0,0,0
795,5,1,3,6,2,6,1599,8.322,0.603,488.3880137,7222.608627,5,4,3,1,9,0,0,0
796,5,1,3,7,2,7,1602,23.934,0.598,575.910379,8236.212966,2,7,5,1,9,1,0.333333333,1.829
797,5,1,3,6,2,6,1603,8.322,0.603,488.3880137,7222.608627,5,1,1,1,9,0,0,0
798,5,1,3,8,1,8,1648,1.306,0.578,706.6242745,8991.144255,4,4,3,1,6,0,0,0
799,5,1,3,7,2,7,1670,23.934,0.598,575.910379,8236.212966,2,3,2,1,9,0,0,0
800,5,1,3,6,2,6,1675,8.322,0.603,488.3880137,7222.608627,5,10,8,1,9,0,0.111111111,0
801,5,1,3,9,2,9,1694,2.841,0.568,936.1159763,3791.490837,5,5,4,1,9,0,0,0
802,5,1,3,2,2,2,1714,2.226,0.63,1217.544265,8834.653023,2,5,4,1,9,0,0,0
803,5,1,3,9,2,9,1716,2.841,0.568,936.1159763,3791.490837,5,6,5,1,9,0,0,0
804,5,1,3,2,2,2,1721,2.226,0.63,1217.544265,8834.653023,5,13,9,1,9,0,0,0
805,5,1,3,1,3,1,1736,281.981,0.601,172.8959831,2347.753925,6,17,15,1,9,0,0,0
806,5,1,3,6,2,6,1744,8.322,0.603,488.3880137,7222.608627,5,8,7,1,8,0,0,0
807,5,1,3,5,2,5,1746,4.65,0.556,1040.223073,9170.992099,5,6,5,1,9,1,0.111111111,4.896
808,5,1,3,9,2,9,1748,2.841,0.568,936.1159763,3791.490837,5,4,3,1,9,0,0,0
809,5,1,3,2,2,2,1749,2.226,0.63,1217.544265,8834.653023,2,9,7,1,9,0,0.222222222,0
810,5,1,3,2,2,2,1754,2.226,0.63,1217.544265,8834.653023,5,4,3,1,9,0,0.222222222,0
811,5,1,3,2,2,2,1756,2.226,0.63,1217.544265,8834.653023,7,7,5,1,9,0,0,0
812,5,1,3,2,2,2,1757,2.226,0.63,1217.544265,8834.653023,5,2,2,1,9,0,0.222222222,0
813,5,1,3,2,2,2,1770,2.226,0.63,1217.544265,8834.653023,2,12,10,1,9,0,0,0
814,5,1,3,6,2,6,1773,8.322,0.603,488.3880137,7222.608627,5,9,6,1,9,0,0,0
815,5,1,3,10,1,10,1784,0.648,0.568,1212.560906,6366.571658,1,3,3,1,9,0,0,0
816,5,1,3,10,1,10,1790,0.648,0.568,1212.560906,6366.571658,1,5,3,1,9,0,0,0
817,5,1,3,8,1,8,1794,1.306,0.578,706.6242745,8991.144255,1,11,8,1,9,0,0,0
818,5,1,3,6,2,6,1802,8.322,0.603,488.3880137,7222.608627,5,4,3,1,9,0,0,0
819,5,1,3,4,2,4,1812,2.256,0.556,1318.886093,9438.887866,2,5,4,1,8,0,0.375,0
820,5,1,3,7,2,7,1821,23.934,0.598,575.910379,8236.212966,2,7,5,1,9,0,0,0
821,5,1,3,7,2,7,1821,23.934,0.598,575.910379,8236.212966,2,7,5,1,9,0,0,0
822,5,1,3,4,2,4,1832,2.256,0.556,1318.886093,9438.887866,5,15,11,1,9,0,0.111111111,0
823,5,1,3,3,3,3,1850,26.973,0.63,823.0665874,7713.441681,6,14,10,1,9,0,0,0
824,5,1,3,3,3,3,1860,26.973,0.63,823.0665874,7713.441681,3,4,3,1,9,0,0,0
825,5,1,3,3,3,3,1862,26.973,0.63,823.0665874,7713.441681,3,4,3,1,9,0,0,0
826,5,1,3,3,3,3,1868,26.973,0.63,823.0665874,7713.441681,6,16,13,1,9,0,0,0
